"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id"
"5741","65741","STEVENS CREEK & SANTANA ROW","","37.323483000000003","-121.948576","1"
"5740","65740","STEVENS CREEK & SANTANA ROW","","37.323250999999999","-121.947317","1"
"641","60641","STEVENS CREEK & WINCHESTER","","37.323434820000003","-121.9518544","1"
"2753","62753","WINCHESTER & STEVENS CREEK","","37.322410150000003","-121.9502786","1"
"588","60588","STEVENS CREEK & MAPLEWOOD","","37.323167830000003","-121.9531295","1"
"1668","61668","VALLEY FAIR TRANSIT CENTER","","37.32670967","-121.9477175","1"
"1619","61619","VALLEY FAIR TRANSIT CENTER","","37.326783689999999","-121.9475886","1"
"639","60639","VALLEY FAIR TRANSIT CENTER","","37.32671114","-121.947975","1"
"589","60589","VALLEY FAIR TRANSIT CENTER","","37.326777079999999","-121.9478506","1"
"640","60640","WINCHESTER & DORCICH","","37.325278160000003","-121.9503034","1"
"2750","62750","WINCHESTER & TULIP","","37.334679219999998","-121.95031229999999","1"
"2722","62722","WINCHESTER & TULIP","","37.335105900000002","-121.95008489999999","1"
"2721","62721","WINCHESTER & KENWOOD","","37.332954819999998","-121.9500875","1"
"2751","62751","WINCHESTER & DOLORES","","37.332563270000001","-121.9503194","1"
"2720","62720","WINCHESTER & WOODLAND","","37.33127417","-121.9500671","1"
"1618","61618","WINCHESTER & PRUNERIDGE","","37.329496470000002","-121.95034130000001","1"
"2724","62724","BELLOMY & WINCHESTER","","37.341829330000003","-121.950908","1"
"2748","62748","WINCHESTER & BELLOMY","","37.341420829999997","-121.95136909999999","1"
"2723","62723","WINCHESTER & NEWHALL","","37.337748570000002","-121.9500621","1"
"2749","62749","WINCHESTER & NEWHALL","","37.337176800000002","-121.9502885","1"
"2725","62725","BELLOMY & LINCOLN","","37.342410839999999","-121.949299","1"
"464","60464","MONROE & FRANKLIN","","37.348568659999998","-121.948044","1"
"2727","62727","MONROE & SANTA CLARA","","37.345887179999998","-121.94655659999999","1"
"2746","62746","MARKET & MONROE","","37.344749759999999","-121.94633709999999","1"
"2747","62747","MARKET & LINCOLN","","37.343499170000001","-121.9498375","1"
"387","60387","MONROE & FRANKLIN","","37.348645249999997","-121.9482757","1"
"4079","64079","BENTON & JEFFERSON","","37.348783539999999","-121.9507109","1"
"3983","63983","BENTON & JEFFERSON","","37.348630999999997","-121.95080660000001","1"
"1314","61314","MONROE & WARBURTON","","37.355639539999999","-121.9522324","1"
"1315","61315","MONROE & CIVC CENTER DR","","37.353762539999998","-121.9511899","1"
"1317","61317","MONROE & EL CAMINO","","37.353723100000003","-121.95094109999999","1"
"386","60386","MONROE & HARRISON","","37.351083090000003","-121.9496353","1"
"1472","61472","BENTON & MAIN","","37.350227760000003","-121.9462283","1"
"465","60465","MONROE & FREMONT","","37.350634980000002","-121.9492346","1"
"466","60466","EL CAMINO & MONROE","","37.353139339999998","-121.95124610000001","1"
"384","60384","EL CAMINO & JEFFERSON","","37.352267689999998","-121.95335780000001","1"
"2743","62743","EL CAMINO & MONROE","","37.353232769999998","-121.9501075","1"
"2744","62744","EL CAMINO & MAIN","","37.354024320000001","-121.9478878","1"
"2729","62729","EL CAMINO & WASHINGTON","","37.354612549999999","-121.94711100000001","1"
"2732","62732","MONROE & CABRILLO","","37.35982688","-121.9546392","1"
"2731","62731","MONROE & DON AVE","","37.35819317","-121.95335679999999","1"
"2742","62742","MONROE & DON AVE","","37.358271960000003","-121.95365200000001","1"
